Name,Actual_PublishMonth,Predicted_PublishMonth
I'm a People Person: A Guide to Human Service Professions,1,1
Turtles in My Sandbox,9,12
"Microsoft Office Excel 2003: Introductory Concepts and Techniques, Coursecard Edition",3,12
Murder on Board: The Mystery of the Blue Train / What Mrs. McGillicuddy Saw /Death in the Air,1,1
"Curious George: A Trip to the Circus, Activity Book",3,3
Itsy-Bitsy Spider: A Rhyme-Along Book,5,1
Hitler 1889-1936: Hubris,10,10
"German Strategy and the Path to Verdun: Erich von Falkenhayn and the Development of Attrition, 1870-1916",1,3
Proudly Red and Black: Stories of African and Native Americans,9,1
The Spanish Armada: The Experience of War in 1588,9,1
Daily Observations: Thoreau on the Days of the Year,10,12
Key Concepts in Urban Studies,2,4
DespuÃ©s del quinto aÃ±oâ€¦ el mundo,6,10
The Chelation Controversy: How to Safely Detoxify Your Body and Improve Your Health and Well-Being,9,12
Forest of Souls: The Awakening,10,8
Any Advice?,8,4
Timothy's Book: Notes of an English Country Tortoise,6,1
Happiness TM,2,12
Slaughterhouse-Five,1,9
Baby's Bedtime Book,5,8
Rock 'n' Road,1,6
Political Film: The Dialectics of Third Cinema,8,6
Soda Glazing,10,1
Illustrated Ben Hur: 2 Volumes In One,12,10
"The Mission (Area 51, #3)",1,7
August Wilson,7,9
Screening Children for Brain Impairment,6,1
Heroes and Villians,7,10
Symphonies Nos. 1-5 for Piano Four Hands,2,8
The Dwelling Place,3,1
"One Winter Night in August, and Other Nonsense Jingles",1,2
Portable User Interface Programming in C++,1,1
Cross Words: The Biblical Doctrine of the Atonement,1,11
Lampblack & Ash: Poems,11,3
"Soup Kitchen: The Ultimate Collection from the Ultimate Chefs Including Nigella Lawson, Jamie Oliver, Gordon Ramsay and Rick Stein",10,11
The Death of David Debrizzi,4,2
"The Clue of the Linoleum Lederhosen (Pals in Peril, #2)",6,3
Computational Kinematics '95,8,1
Nature's Economy: The Roots of Ecology,6,3
"Helping Health Workers Learn: A Book of Methods, Aids, and Ideas for Instructors at the Village Level",1,1
I Ching Tarot: Game Of Divination And Discovery,7,1
Order and Justice in International Relations,4,1
Writing Degree Zero,5,10
"Spin Geometry (Pms-38), Volume 38",2,1
Freddy Goes to the North Pole,9,6
åŸŽå—èˆŠäº‹,1,6
"Conscience and Conflict: A Trilogy of One-Actor Plays: Thomas Merton, Pope John XXIII, Martin Luther",1,1
"Hitched (Regan Reilly Mystery, #9)",4,4
Oregon and Other Short Plays,1,9
Assessments of Practices in Early Elementary Classrooms,7,1
Applying Anthropology: An Introductory Reader,7,4
The Penguin Book of Food and Drink,5,3
International Relations Theory: New Normative Approaches,3,1
The Indaba Tree Odyssey: An African Tale,8,8
"The Western Island, or the Great Blasket",3,9
"The Humphrey Bogart Murder Case (Jacob Singer, #10)",4,3
Ohikkoshi,10,9
"Alchemy, Medicine, and Religion in the China of Ad 320: The Nei P'Ien of Ko Hung",1,1
Eternity in Their Hearts,3,9
The Scarlet Letter,2,10
Mill's 'On Liberty': A Reader's Guide,6,3
Democratization: Essays on Ethics and Politics,4,1
The Amnesias: A Clinical Textbook of Memory Disorders,11,6
Woodwright's Workbook: Further Explorations in Traditional Woodcraft,11,2
The Vested Interests and the Common Man,5,6
Flowers Of Evil & Paris Spleen,1,4
Father Brown Mystery Stories (9 Tales),12,10
Close Encounters of a Third World Kind,1,2
Biography and the Question of Literature in France,3,1
The Flowering of Mysticism: Men and Women in the New Mysticism: 1200-1350,9,12
Q and A: Hundreds of Can-Do Answers to a Gardener's Toughest Questions,4,1
A Cup of Trembling: Jerusalem and Bible Prophecy,12,8
Usher's Passing,10,1
Das Deutsche Drama Von Kleist Bis Hauptmann: Edited by A. Peter Foulkes [And] Edgar Lohner,1,1
Beyond Good and Evil: Prelude to a Philosophy of the Future,12,5
The Lady And The Falconer,8,10
The Red Hot Cookbook: Create a Culinary Inferno with Flaming Good Recipes from Around the World,12,4
Ted Noodleman: Bicycle Delivery Boy: The Complete Ride,8,9
Jamie's Kitchen,10,1
"Nazarena, an American Anchoress",12,8
Enchanting Scents (Secrets of Aromatherapy),6,1
Internal Rhetorics: Toward a History and Theory of Self-Persuasion,11,1
"Playing With Fire (Little Secrets, #1)",9,3
The Mammoth Book of Sea Battles: Great Stories and Classic Tales from the Golden Age of Naval Warfare,8,12
Becoming a Friend and Lover,4,3
"Espa~noles En La Gran Breta~na, Luis Cernuda: El Hombre y Sus Temas",1,1
L'Adversaire,8,8
Grimms' Complete Fairy Tales,5,4
"Working for the Enemy: Ford, General Motors, and Forced Labor in Germany During the Second World War",11,6
An Island Scrapbook: Dawn to Dusk on a Barrier Island,5,1
"How Long O Lord?: Christian, Jewish, and Muslim Voices from the Ground and Visions for the Future in Israel/Palestine",5,1
The Play of Consciousness in the Web of the Universe,1,1
Adversary in the House: A Biographical Novel of Eugene V. Debs,7,10
Between Sisters,6,4
Articles of Faith: The Best of Pulpit Notes,1,1
Kokain,6,6
Business Process Management and the Balanced Scorecard: Using Processes as Strategic Drivers,12,6
The Frankenfood Myth: How Protest and Politics Threaten the Biotech Revolution,8,9
Mouse Tales,11,10
The Party's Over: The Failure of Politics in America,1,1
